127.0.0.1, 2018-10-08 22:40:21, GET, /admin/static/_2.17.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.002535
127.0.0.1, 2018-10-08 22:40:21, GET, /admin/static/_2.17.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.002302
127.0.0.1, 2018-10-08 22:40:21, GET, /admin/static/_2.17.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001964
127.0.0.1, 2018-10-08 22:40:21, GET, /admin/static/_2.17.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.002835
127.0.0.1, 2018-10-08 22:40:21, GET, /admin/static/_2.17.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.002699
127.0.0.1, 2018-10-08 22:40:21, GET, /admin/static/_2.17.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.000997
127.0.0.1, 2018-10-08 22:40:21, GET, /admin/static/_2.17.1/images/questions.png, HTTP/1.1, 200, 0.001820
127.0.0.1, 2018-10-08 22:40:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000199
127.0.0.1, 2018-10-08 22:40:22, GET, /admin/default/index, HTTP/1.1, 200, 0.012852
127.0.0.1, 2018-10-08 22:40:25, POST, /admin/default/index, HTTP/1.1, 303, 0.017858
127.0.0.1, 2018-10-08 22:40:25, GET, /admin/default/site, HTTP/1.1, 200, 0.054184
127.0.0.1, 2018-10-08 22:40:25, GET, /admin/static/_2.17.1/images/folder_locked.png, HTTP/1.1, 200, 0.000826
127.0.0.1, 2018-10-08 22:40:25, GET, /admin/static/_2.17.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001811
127.0.0.1, 2018-10-08 22:40:25, GET, /admin/static/_2.17.1/images/folder.png, HTTP/1.1, 200, 0.003260
127.0.0.1, 2018-10-08 22:40:25, POST, /admin/default/check_version, HTTP/1.1, 200, 0.236186
127.0.0.1, 2018-10-08 22:40:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000289
127.0.0.1, 2018-10-08 22:40:35, GET, /start/default/index, HTTP/1.1, 200, 0.022128
